medcode,ckd_sno
906311000006117,1
906351000006116,1
460911015,1
460910019,1
1227723010,1
1227722017,1
460913017,1
460912010,1
460914011,1
305192017,1
424791000006110,1
354612017,1
441161000006118,1
441151000006115,1
446291000006111,1
207941012,1
8117051000006114,1
5094141000006118,1
354615015,1
354616019,1
354617011,1
354618018,1
354628010,1
354417015,1
372621000000114,1
478131000006115,1
399381000000115,1
272320011,1
1549841000006116,1
8212401000006115,1
7615331000006115,1
7615371000006117,1
480871000006117,1
2211671000000119,1
7615361000006112,1
1847111000006118,1
2209101000000119,1
2195661000000114,1
2232261000000110,1
2195721000000112,1
1847091000006110,1
2209021000000112,1
866331000006119,1
350892013,1
2948281000006112,1
2948291000006110,1
6014961000006119,1
3246241000006111,1
272142019,1
272139013,1
2692168016,1
500371000006119,1
4668951000006113,1
2948331000006115,1
3246271000006115,1
7507461000006117,1
349856011,1
354591016,1
5051441000006117,1
272325018,1
5120171000006118,1
354540019,1
2771041011,1
1823941000006114,1
2773184015,1
304071000000115,1
994421000006111,1
8040681000006112,1
7966691000006116,1
595811000000117,1
595871000000110,1
557811000000119,1
595931000000116,1
595991000000115,1
557831000000110,1
596051000000115,1
596131000000114,1
2767385013,1
304091000000116,1
7966641000006113,1
596191000000110,1
596261000000111,1
2767154014,1
304111000000114,1
994441000006116,1
8027491000006113,1
7966611000006114,1
7714891000006118,1
596321000000110,1
7714921000006112,1
596401000000111,1
8345931000006110,1
8346021000006117,1
855641000006115,1
7043231000006112,1
354619014,1
354623018,1
354624012,1
354627017,1
7643331000006114,1
509111010,1
3973811000006118,1
509108014,1
7643311000006115,1
8104231000006115,1
8104261000006112,1
8104301000006115,1
8104381000006112,1
8104451000006111,1
1940621000006111,1
1940631000006114,1
1940641000006116,1
1940651000006119,1
1940661000006117,1
1940671000006112,1
1940501000006119,1
1940511000006116,1
1940521000006112,1
1940531000006110,1
1940541000006117,1
1940551000006115,1
7174791000006111,1
618431000000114,1
618441000000117,1
618451000000119,1
618461000000116,1
618471000000111,1
618481000000113,1
7147781000006115,1
618491000000110,1
618501000000116,1
7174851000006111,1
618511000000119,1
618521000000113,1
394639018,1
278835013,1
1848741000006116,1
2948321000006118,1
357219012,1
1743241000006119,1
5053041000006110,1
394350012,1
349825015,1
2675886019,1
600481000006118,1
2948311000006114,1
3973841000006119,1
290737016,1
6447761000006113,1
619541000006116,1
461420012,1
2613841000000113,1
354325017,1
354323012,1
3245881000006114,1
3245841000006115,1
215521000000116,1
641471000006117,1
5094161000006119,1
5094171000006114,1
641491000006116,1
12704471000006116,1
5647621000006110,1
3245861000006116,1
3245871000006111,1
3245851000006118,1
380101000000116,1
422992018,1
1905531000006112,1
272389014,1
2674486017,1
877641000006113,1
5096231000006110,1
329116017,1
663551000006118,1
2301451000000118,1
329081019,1
766101000006114,1
3798201000006112,1
278832011,1
7770921000006110,1
2211311000000117,1
7401361000006113,1
7403361000006112,1
349998013,1
350034012,1
2240871000000116,1
2240831000000118,1
2240911000000119,1
2237901000000119,1
8030431000006112,1
8030421000006114,1
2240321000000114,1
2240741000000115,1
2237861000000114,1
1870801000006111,1
1905511000006118,1
272134015,1
773041000006111,1
278844014,1
3525759011,1
366671000000118,1
380061000000118,1
5488801000006112,1
754781000006116,1
866751000006110,1
866731000006115,1
3647061000006115,1
324973015,1
754061000006111,1
3647031000006112,1
272153013,1
743721000006115,1
637771000000113,1
638111000000115,1
90471000006113,1
7641781000006113,1
714401000006112,1
714411000006110,1
30043012,1
713671000006118,1
713611000006110,1
5120251000006115,1
2238421000000115,1
2238381000000112,1
2237821000000118,1
1550021000006110,1
272141014,1
278834012,1
272326017,1
413257013,1
118218017,1
7083771000006113,1
375841000000114,1
453312018,1
228101000006113,1
228111000006111,1
228121000006115,1
228131000006117,1
228211000006117,1
228221000006113,1
228231000006111,1
386181000000111,1
1850891000006119,1
181021000006119,1
272140010,1
394640016,1
176711000006111,1
117168016,1
284213011,1
900121000006113,1
988961000006115,1
354610013,1
177251000006119,1
177341000006111,1
394352016,1
2197961000000113,1
2240991000000111,1
2240951000000115,1
2241031000000116,1
2237941000000116,1
2198001000000111,1
2195121000000113,1
2253631000000110,1
2645965011,1
2237981000000112,1
2238021000000114,1
2210341000000113,1
2198141000000110,1
2253671000000112,1
3246221000006116,1
106291000006118,1
360031000000113,1
2234541000000115,1
2238301000000119,1
2238261000000112,1
2238341000000116,1
2210381000000117,1
2211591000000116,1
394365013,1
3647021000006114,1
7710041000006114,1
501594013,1
90461000006118,1
272327014,1
3653841000006116,1
3647051000006117,1
413415016,1
2189151000000117,1
2191221000000118,1
354613010,1
353974015,1