medcodeid,pros_cnd,pros_weight
203531000006112,1,.01
34267015,1,.01
35586019,1,.01
35587011,1,.01
2974631000006116,1,.01
49399013,1,.01
2974641000006114,1,.01
60504013,1,.01
91741000006119,1,.01
15391012,1,.01
2639251000006113,1,.01
131754019,1,.01
112408019,1,.01
203521000006114,1,.01
118926015,1,.01
11513017,1,.01
19794011,1,.01
203421000006110,1,.01
868141000006110,1,.01
868111000006111,1,.01
120415016,1,.01
868121000006115,1,.01
120412018,1,.01
4001331000006116,1,.01
4001351000006111,1,.01
4001341000006114,1,.01
152797018,1,.01
4001361000006113,1,.01
1232948019,1,.01
3599371000006116,1,.01
112263010,1,.01
78361016,1,.01
504861000006113,1,.01
256409010,1,.01
36968017,1,.01
2850821000006117,1,.01
86081013,1,.01
314216010,1,.01
272971017,1,.01
644291000006118,1,.01
95191000006112,1,.01
868201000006115,1,.01
105501000006118,1,.01
262915018,1,.01
4038101000006112,1,.01
4038081000006116,1,.01
156607018,1,.01
4038071000006119,1,.01
4038091000006118,1,.01
4038061000006114,1,.01
178998013,1,.01
868171000006119,1,.01
4671571000006110,1,.01
272903018,1,.01
4610381000006116,1,.01
261015019,1,.01
272890012,1,.01
272892016,1,.01
272887018,1,.01
4671751000006114,1,.01
272967015,1,.01
867381000006115,1,.01
272628011,1,.01
284214017,1,.01
285247019,1,.01
304392018,1,.01
4790451000006113,1,.01
4790471000006115,1,.01
304393011,1,.01
304404012,1,.01
304407017,1,.01
4790551000006114,1,.01
304383016,1,.01
11873901000006112,1,.01
304399010,1,.01
4790521000006117,1,.01
11873891000006113,1,.01
272891011,1,.01
272964010,1,.01
272885014,1,.01
272886010,1,.01
272893014,1,.01
868071000006115,1,.01
394407018,1,.01
868161000006114,1,.01
272902011,1,.01
4671681000006112,1,.01
4671701000006110,1,.01
643871000006116,1,.01
4671691000006110,1,.01
272937014,1,.01
272888011,1,.01
272889015,1,.01
304390014,1,.01
304400015,1,.01
321179016,1,.01
4855271000006115,1,.01
5493291000006113,1,.01
5493331000006118,1,.01
5493321000006116,1,.01
396742015,1,.01
5493351000006113,1,.01
5493361000006110,1,.01
11851221000006114,1,.01
396738018,1,.01
5493341000006111,1,.01
645331000006112,1,.01
5493301000006114,1,.01
5493281000006110,1,.01
5523181000006118,1,.01
406029011,1,.01
394425013,1,.01
454128013,1,.01
6001161000006116,1,.01
3223431000006110,1,.01
1216632014,1,.01
3223411000006116,1,.01
3223401000006119,1,.01
454336011,1,.01
6003341000006118,1,.01
411266019,1,.01
1231629018,1,.01
3420211000006113,1,.01
3420231000006119,1,.01
454333015,1,.01
6003321000006113,1,.01
511780018,1,.01
4049071000006114,1,.01
3966181000006117,1,.01
508891016,1,.01
3966201000006116,1,.01
3966171000006115,1,.01
149513013,1,.01
272933013,1,.01
508888016,1,.01
3966211000006118,1,.01
2954721000006112,1,.01
1225873019,1,.01
1488634012,1,.01
1490806016,1,.01
6331111000006112,1,.01
458521015,1,.01
458520019,1,.01
507380016,1,.01
3915041000006119,1,.01
507378010,1,.01
493811000000112,1,.01
3915021000006114,1,.01
3915011000006118,1,.01
2676228019,1,.01
2871529010,1,.01
148531000033114,1,.01
299581000000117,1,.01
7081701000006118,1,.01
7081691000006118,1,.01
368341000000116,1,.01
399401000000115,1,.01
499301000000117,1,.01
491791000000112,1,.01
756031000000117,1,.01
868081000006117,1,.01
12721831000006112,1,.01
868101000006113,1,.01
272899013,1,.01
906281000006119,1,.01
909491000006110,1,.01
141434019,1,.01
3887221000006119,1,.01
886881000006110,1,.01
506474017,1,.01
3887231000006116,1,.01
272966012,1,.01
4671731000006119,1,.01
868211000006117,1,.01
745331000000110,1,.01
970831000006114,1,.01
987331000006110,1,.01
12720871000006118,1,.01
932501000006119,1,.01
1102811000006111,1,.01
1553011000000119,1,.01
8214171000006112,1,.01
8214231000006115,1,.01
1553181000000113,1,.01
1805901000006116,1,.01
5352591000006118,1,.01
379770011,1,.01
1728621000006115,1,.01
1853251000006117,1,.01
1728641000006110,1,.01
1890971000006115,1,.01
2883594010,1,.01
1833991000006115,1,.01
1717461000000112,1,.01
7085791000006110,1,.01
1227569012,1,.01
8214191000006113,1,.01
1553061000000117,1,.01
1807441000006117,1,.01
1728611000006111,1,.01
1936241000006115,1,.01
1936281000006114,1,.01
1936291000006112,1,.01
7083111000006115,1,.01
1936251000006118,1,.01
2460981000000118,1,.01
11923321000006113,1,.01
867961000006112,1,.01
368301000000119,1,.01
515091000006110,1,.01
489161000000119,1,.01
23181000006119,1,.01
272998018,1,.01
867991000006116,1,.01
394422011,1,.01
272996019,1,.01
272977018,1,.01
867971000006117,1,.01
394423018,1,.01
411004013,1,.01
151000006116,1,.01
445774019,1,.01
394419014,1,.01
411003019,1,.01
21061000006114,1,.01
272942018,1,.01
331000006113,1,.01
321000006110,1,.01
489181000000111,1,.01
272997011,1,.01
272905013,1,.01
272897010,1,.01
5905991000006117,1,.01
272906014,1,.01
2007541000006116,1,.01
2362661000000113,1,.01
305221012,1,.01
304412016,1,.01
2987551000006112,1,.01
305228018,1,.01
304408010,1,.01
304403018,1,.01
305220013,1,.01
304411011,1,.01
304385011,1,.01
304382014,1,.01
2462171000000116,1,.01
321172013,1,.01
4379251000006110,1,.01
1550341000006118,1,.01
81291000006119,1,.01
203441000006115,1,.01
304402011,1,.01
304401016,1,.01
203211000006115,1,.01
2654641000006112,1,.01
2611461000000113,1,.01
461265017,1,.01
1550561000006114,1,.01
2676248014,1,.01
380681000000117,1,.01
505011000006115,1,.01
134409015,1,.01
314163017,1,.01
314222018,1,.01
990981000006112,1,.01
4826891000006111,1,.01
4826911000006113,1,.01
314242010,1,.01
314134015,1,.01
4826921000006117,1,.01
314228019,1,.01
314212012,1,.01
414341000006111,1,.01
314249018,1,.01
414311000006112,1,.01
314221013,1,.01
314213019,1,.01
314243017,1,.01
893161000006119,1,.01
314214013,1,.01
314085013,1,.01
314230017,1,.01
314226015,1,.01
35171000006119,1,.01
315745016,1,.01
314240019,1,.01
314215014,1,.01
404581000006110,1,.01
315734019,1,.01
314225016,1,.01
314248014,1,.01
272969017,1,.01
643781000006111,1,.01
643231000006115,1,.01
643221000006118,1,.01
5487301000006116,1,.01
5487311000006118,1,.01
977601000006118,1,.01
744201000000114,1,.01
5487231000006116,1,.01
644431000006118,1,.01
1550461000006113,1,.01
868131000006117,1,.01
5727241000006110,1,.01
5569121000006114,1,.01
794121000006112,1,.01
722361000006115,1,.01
6616721000006113,1,.01
6616741000006118,1,.01
6616751000006116,1,.01
6616761000006119,1,.01
6616731000006111,1,.01
2453201000000117,1,.01
2676221013,1,.01
445771010,1,.01
3970451000006114,1,.01
643201000006111,1,.01
4671801000006119,1,.01
1002231000033111,1,.01
4671821000006112,1,.01
272990013,1,.01
2676220014,1,.01
1728631000006117,1,.01
1936171000006116,1,.01
1603821000006114,1,.01
5754801000006116,1,.01
429993012,1,.01
12450831000006114,1,.01
282339011,1,.01
4716351000006117,1,.01
282340013,1,.01
272970016,1,.01
101175019,1,.01
394424012,1,.01
4671671000006114,1,.01
194361000006113,1,.01
4671651000006116,1,.01
4671661000006119,1,.01
69011011,1,.01
4790491000006119,1,.01
304396015,1,.01
1227407014,1,.01
301581000006117,1,.01
6564621000006116,1,.01
203491000006112,1,.01
4790511000006113,1,.01
1100301000006119,1,.01
459768019,1,.01
134770016,1,.01
153295017,1,.01
4008071000006111,1,.01
1553111000000118,1,.01
8214211000006114,1,.01
272991012,1,.01
454337019,1,.01
1490807013,1,.01
6331141000006111,1,.01
844951000006111,1,.01
906971000006110,1,.01
1488844012,1,.01
1839341000006110,1,.01
1936271000006111,1,.01
1601451000006116,1,.01
1822111000006119,1,.01
507979014,1,.01
3935351000006111,1,.01
1842181000006111,1,.01
258298016,1,.01
304384010,1,.01
33507011,1,.01
272992017,1,.01
1488852010,1,.01
3226281000006115,1,.01
1230174015,1,.01
21825014,1,.01
272898017,1,.01
420648014,1,.01
