medcodeid,psoecz_sno,psoecz_weight
55628018,1,.25
55627011,1,.25
308730016,1,.25
312521010,1,.25
61797015,1,.25
3096771000006113,1,.25
4541291000006118,1,.25
251784017,1,.25
308735014,1,.25
308747015,1,.25
308744010,1,.25
308733019,1,.25
308741019,1,.25
4805991000006118,1,.25
4805981000006116,1,.25
308752013,1,.25
308745011,1,.25
308749017,1,.25
308739015,1,.25
5139461000006110,1,.25
359310019,1,.25
5139581000006118,1,.25
359321011,1,.25
357623013,1,.25
2941451000006110,1,.25
2941431000006115,1,.25
2941421000006118,1,.25
2941391000006114,1,.25
2941411000006114,1,.25
483572016,1,.25
2941401000006111,1,.25
2941471000006117,1,.25
2941441000006113,1,.25
2941481000006119,1,.25
1823821000006111,1,.25
10111000033114,1,.25
905681000006112,1,.25
1011221000006117,1,.25
1583831000006118,1,.25
1629311000006117,1,.25
1933361000006117,1,.25
2162831000033118,1,.25
308753015,1,.25
309331014,1,.25
308731017,1,.25
308725015,1,.25
308732012,1,.25
308776017,1,.25
4805761000006111,1,.25
198881000006116,1,.25
198841000006110,1,.25
4805881000006111,1,.25
4805871000006113,1,.25
4805831000006110,1,.25
198791000006112,1,.25
4805821000006112,1,.25
2239001000000113,1,.25
8300801000006110,1,.25
8300811000006113,1,.25
308740018,1,.25
308746012,1,.25
308775018,1,.25
6631851000006114,1,.25
357612014,1,.25
1887571000006111,1,.25
5123861000006113,1,.25
308734013,1,.25
308750017,1,.25
4805951000006112,1,.25
38664014,1,.25
889211000006110,1,.25
308515010,1,.25
2866881000006113,1,.25
50967012,1,.25
2990471000006118,1,.25
2990491000006117,1,.25
622961000006111,1,.25
135069015,1,.25
622951000006114,1,.25
3823971000006113,1,.25
3823951000006115,1,.25
3823981000006111,1,.25
3686151000006110,1,.25
121124014,1,.25
879131000006117,1,.25
3703991000006119,1,.25
3703961000006110,1,.25
122961018,1,.25
3703971000006115,1,.25
3703931000006118,1,.25
122965010,1,.25
3704001000006111,1,.25
3704011000006114,1,.25
3703951000006113,1,.25
42121000006113,1,.25
38016018,1,.25
2860981000006116,1,.25
3021441000006112,1,.25
54060018,1,.25
430281000006110,1,.25
1494721011,1,.25
399912014,1,.25
308602013,1,.25
3148011000006118,1,.25
3148021000006114,1,.25
308623019,1,.25
308624013,1,.25
309323016,1,.25
3148031000006112,1,.25
591221000006115,1,.25
63652013,1,.25
2798281000006112,1,.25
31691015,1,.25
3088971000006113,1,.25
60975016,1,.25
93035017,1,.25
3408791000006115,1,.25
3155471000006113,1,.25
67908018,1,.25
3155461000006118,1,.25
3155451000006115,1,.25
71306016,1,.25
3188991000006118,1,.25
3294171000006114,1,.25
81779016,1,.25
3635371000006117,1,.25
115978018,1,.25
3635391000006116,1,.25
3014601000006115,1,.25
53389017,1,.25
108236013,1,.25
3558991000006118,1,.25
3563191000006117,1,.25
3563221000006112,1,.25
3563181000006115,1,.25
108646019,1,.25
3563211000006116,1,.25
3563241000006117,1,.25
3563231000006110,1,.25
3563201000006119,1,.25
4192351000006113,1,.25
178428014,1,.25
3762031000006113,1,.25
128743013,1,.25
399476014,1,.25
154630014,1,.25
219361000000115,1,.25
636491000006112,1,.25
77108018,1,.25
3247021000006111,1,.25
4541271000006119,1,.25
251783011,1,.25
308492014,1,.25
4804241000006115,1,.25
308495011,1,.25
4805081000006115,1,.25
308585019,1,.25
4805061000006113,1,.25
308511018,1,.25
4804351000006112,1,.25
4804361000006114,1,.25
4804341000006110,1,.25
308528015,1,.25
4804531000006111,1,.25
4804541000006118,1,.25
4804621000006112,1,.25
4804611000006116,1,.25
308533016,1,.25
4804581000006112,1,.25
4804601000006119,1,.25
4804421000006114,1,.25
308513015,1,.25
4804931000006116,1,.25
308576019,1,.25
4804911000006110,1,.25
4805291000006113,1,.25
308622012,1,.25
308510017,1,.25
4804321000006115,1,.25
4804311000006111,1,.25
4804301000006113,1,.25
308642015,1,.25
4805421000006110,1,.25
889271000006118,1,.25
4805211000006115,1,.25
4805231000006114,1,.25
308609016,1,.25
4804571000006114,1,.25
4804551000006116,1,.25
308532014,1,.25
286729018,1,.25
4742281000006112,1,.25
4742271000006114,1,.25
4804401000006116,1,.25
4804391000006118,1,.25
4804381000006116,1,.25
308512013,1,.25
4804471000006110,1,.25
4804511000006117,1,.25
4804491000006111,1,.25
308519016,1,.25
4804501000006115,1,.25
4804731000006118,1,.25
4804661000006118,1,.25
308554011,1,.25
4804681000006111,1,.25
4804751000006113,1,.25
4804701000006114,1,.25
4804741000006111,1,.25
591091000006114,1,.25
4804721000006116,1,.25
4804691000006114,1,.25
4804711000006112,1,.25
4805251000006119,1,.25
308618019,1,.25
308633010,1,.25
308644019,1,.25
308643013,1,.25
357830017,1,.25
5125881000006116,1,.25
557651000006114,1,.25
357504010,1,.25
5122821000006114,1,.25
5122811000006118,1,.25
357559014,1,.25
357558018,1,.25
357562012,1,.25
889261000006113,1,.25
399918013,1,.25
6289471000006111,1,.25
489882019,1,.25
6289461000006116,1,.25
357560016,1,.25
486191017,1,.25
3071961000006117,1,.25
3071951000006119,1,.25
357563019,1,.25
357566010,1,.25
309319012,1,.25
5123451000006113,1,.25
884781000006111,1,.25
411635018,1,.25
5575541000006118,1,.25
1233663010,1,.25
3699681000006118,1,.25
3699691000006115,1,.25
506552014,1,.25
3889931000006118,1,.25
3889941000006111,1,.25
3889921000006116,1,.25
681461000006115,1,.25
3986331000006119,1,.25
889141000006117,1,.25
3986371000006116,1,.25
3986351000006114,1,.25
151553017,1,.25
3986321000006117,1,.25
3986341000006112,1,.25
3986361000006111,1,.25
151554011,1,.25
3986291000006114,1,.25
1787545010,1,.25
3986301000006110,1,.25
1779345010,1,.25
6634251000006113,1,.25
2645974013,1,.25
889221000006119,1,.25
12733261000006116,1,.25
357584012,1,.25
889181000006111,1,.25
5123591000006115,1,.25
357583018,1,.25
889231000006116,1,.25
4804651000006115,1,.25
308560011,1,.25
308552010,1,.25
308573010,1,.25
20373018,1,.25
889241000006114,1,.25
308562015,1,.25
2687981000006114,1,.25
905661000006119,1,.25
892631000033112,1,.25
308497015,1,.25
889151000006115,1,.25
2884321000006114,1,.25
308485016,1,.25
2884311000006118,1,.25
2884341000006119,1,.25
889171000006113,1,.25
477121000006119,1,.25
2884331000006112,1,.25
2884301000006116,1,.25
497341000006116,1,.25
889161000006118,1,.25
889191000006114,1,.25
12733251000006118,1,.25
889251000006111,1,.25
12727631000006116,1,.25
950591000006112,1,.25
853841000006115,1,.25
1008901000006113,1,.25
1036751000006115,1,.25
1137101000000119,1,.25
1808401000006118,1,.25
11880261000006118,1,.25
2233581000000114,1,.25
6663041000006112,1,.25
2233571000000112,1,.25
2932621000006112,1,.25
298564016,1,.25
394481000006117,1,.25
418271000006117,1,.25
3899041000006111,1,.25
308526016,1,.25
3899051000006113,1,.25
590701000006112,1,.25
308527013,1,.25
308539017,1,.25
3822911000006114,1,.25
308619010,1,.25
308587010,1,.25
308625014,1,.25
614361000006113,1,.25
309328013,1,.25
740221000006117,1,.25
1160721000000115,1,.25
5624761000006116,1,.25
81109013,1,.25
590831000006112,1,.25
117541014,1,.25
888981000006116,1,.25
399894010,1,.25
3650971000006110,1,.25
3650931000006112,1,.25
308367010,1,.25
3650921000006114,1,.25
3650951000006117,1,.25
117539013,1,.25
3650961000006115,1,.25
3650941000006119,1,.25
308402015,1,.25
308363014,1,.25
540621000006119,1,.25
399904018,1,.25
98560010,1,.25
5122411000006116,1,.25
9897451000006110,1,.25
399916012,1,.25
5123491000006119,1,.25
1781705012,1,.25
84230010,1,.25
3318731000006111,1,.25
309316017,1,.25
889131000006110,1,.25
3318761000006119,1,.25
84231014,1,.25
3318771000006114,1,.25
889121000006112,1,.25
3318721000006113,1,.25
3318751000006116,1,.25
585903012,1,.25
4806801000006110,1,.25
4806791000006114,1,.25
192189011,1,.25
4354861000006112,1,.25
195021000006118,1,.25
309325011,1,.25
3597331000006112,1,.25
112091013,1,.25
399914010,1,.25
12704131000006112,1,.25
3617241000006116,1,.25
3617251000006119,1,.25
3617221000006111,1,.25
3617261000006117,1,.25
223901000000111,1,.25
4189021000006114,1,.25
1775284012,1,.25
4189011000006118,1,.25
4189031000006112,1,.25
394521000006117,1,.25
309321019,1,.25
3295801000006111,1,.25
590631000006113,1,.25
3256431000006116,1,.25
590901000006110,1,.25
590931000006119,1,.25
3826651000006115,1,.25
4805271000006112,1,.25
4805261000006117,1,.25
591201000006113,1,.25
2784701000006117,1,.25
590781000006115,1,.25
591011000006116,1,.25
3672211000006110,1,.25
2924921000006113,1,.25
591151000006116,1,.25
4805111000006114,1,.25
745631000006113,1,.25
4805091000006117,1,.25
4805121000006118,1,.25
4805141000006113,1,.25
745641000006115,1,.25
357589019,1,.25
755361000006114,1,.25
755381000006116,1,.25
5123651000006110,1,.25
755371000006119,1,.25
779631000006110,1,.25
591021000006112,1,.25
4192331000006118,1,.25
590711000006110,1,.25
2609851000006115,1,.25
2673361000006116,1,.25
2673381000006114,1,.25
2673421000006116,1,.25
2673391000006112,1,.25
2673371000006111,1,.25
2673401000006114,1,.25
591081000006111,1,.25
2673411000006112,1,.25
399917015,1,.25
309315018,1,.25
309324010,1,.25
308581011,1,.25
9309971000006118,1,.25
11782161000006111,1,.25
11904801000006117,1,.25
308568016,1,.25
4804851000006119,1,.25
2632961000000119,1,.25
7782131000006118,1,.25
7782121000006116,1,.25
4804961000006113,1,.25
4804941000006114,1,.25
477331000006119,1,.25
1779279014,1,.25
308579014,1,.25
362991000006116,1,.25
939531000006118,1,.25
150503015,1,.25
94953018,1,.25
889201000006112,1,.25
12724891000006113,1,.25
980491000006115,1,.25
130689015,1,.25
3781091000006115,1,.25
11640201000006116,1,.25
5502001000006111,1,.25
399913016,1,.25
5501981000006111,1,.25
3081241000006117,1,.25
3081281000006111,1,.25
3081251000006115,1,.25
53821000006111,1,.25
3081271000006113,1,.25
3081261000006118,1,.25
100341000006117,1,.25
906691000006119,1,.25
308555012,1,.25
4804781000006117,1,.25
4804761000006110,1,.25
1577061000006119,1,.25
4804881000006110,1,.25
4804901000006112,1,.25
308575015,1,.25
104278011,1,.25
737371000006110,1,.25
939541000006111,1,.25
4062591000006119,1,.25
512310013,1,.25
4062611000006113,1,.25
2382031000033119,1,.25
308589013,1,.25
4805161000006112,1,.25
4804991000006117,1,.25
4804971000006118,1,.25
308578018,1,.25
4804281000006114,1,.25
4804261000006116,1,.25
308509010,1,.25
4804271000006111,1,.25
674301000006118,1,.25
2507741000006111,1,.25
2507801000006118,1,.25
2050012,1,.25
2507781000006117,1,.25
2507761000006110,1,.25
2507791000006119,1,.25
2507751000006113,1,.25
2507771000006115,1,.25
676461000006118,1,.25
4805011000006110,1,.25
477371000006116,1,.25
3853241000006112,1,.25
137914019,1,.25
138508015,1,.25
3858921000006116,1,.25
300723011,1,.25
884791000006114,1,.25
6859241000006118,1,.25
492621013,1,.25
6859231000006111,1,.25
308514014,1,.25
4804461000006115,1,.25
4804441000006119,1,.25
4804451000006117,1,.25
357561017,1,.25
